"";"Focal";"Date";"Age.new";"Age.scale";"percentage.duration.groomed";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"Duration.static";"duration.groomed";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"253";"SF14";"2022-03-27";100;1,51506326887685;0;-0,0809568755472673;-0,56019583770206;-1,55275099284713;-0,29358380298172;14187;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"254";"SF14";"2022-04-09";101;1,55020535687631;4,95311638168781;0,957268703990205;-0,56019583770206;-1,55275099284713;-0,29358380298172;9065;449;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"255";"SF14";"2022-04-10";101;1,55020535687631;5,20877807189822;0,438155914221469;-0,56019583770206;-1,55275099284713;-0,29358380298172;11711;610;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"256";"SF14";"2022-06-17";103;1,62048953287524;5,19949951341582;-1,11918245508474;-0,56019583770206;-1,55275099284713;-0,29358380298172;7193;374;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"257";"SF14";"2022-06-29";103;1,62048953287524;1,7362124306974;-0,427032068726425;-0,56019583770206;-1,55275099284713;-0,29358380298172;6854;119;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"258";"SF14";"2022-08-11";105;1,69077370887416;0;-0,253994472136846;-0,424976152739494;-1,55275099284713;-0,29358380298172;756;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"259";"SF14";"2022-09-14";106;1,72591579687363;0;0,0920807210423114;-0,424976152739494;-1,50416979929762;-0,29358380298172;6125;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"260";"SF14";"2022-09-16";106;1,72591579687363;1,35943002211121;0,957268703990205;-0,424976152739494;-1,50416979929762;-0,29358380298172;12211;166;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"261";"SF14";"2022-09-30";106;1,72591579687363;0;-0,0809568755472673;-0,424976152739494;-1,50416979929762;-0,29358380298172;4845;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"262";"SF14";"2022-10-01";107;1,76105788487309;0;-0,427032068726425;-0,424976152739494;-1,50416979929762;-0,29358380298172;15288;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"263";"SF14";"2022-10-04";107;1,76105788487309;0;-0,0809568755472673;-0,424976152739494;-1,50416979929762;-0,29358380298172;74;0;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
"264";"SF14";"2022-10-05";107;1,76105788487309;1,74730468957459;0,0920807210423114;-0,424976152739494;-1,50416979929762;-0,29358380298172;18829;329;"SUD";"F";"No";0,569642857142857;-0,6125;-0,394642857142857
