"";"X";"Focal";"Date";"Age.new";"Age.scale";"contact.one.meter";"mean.party.size.scale";"Age.mother.round.scale";"rank.scale";"months.pregnant.scale";"total.scans";"Group";"Sex";"family.member";"Group.centered";"Sex.centered";"family.member.centered"
"238";239;"SF13";"2022-12-30";67;0,352167489145444;0;0,94680545732012;-0,422048889958618;-1,49764669632242;-0,296468713980032;3;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"239";240;"SF13";"2023-01-02";68;0,387409868881614;0;-0,262617572103391;-0,422048889958618;-1,49764669632242;-0,296468713980032;7;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"240";241;"SF13";"2023-01-04";68;0,387409868881614;8;0,94680545732012;-0,422048889958618;-1,49764669632242;-0,296468713980032;79;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"241";242;"SF13";"2023-01-13";68;0,387409868881614;18;2,15622848674363;-0,422048889958618;-1,49764669632242;-0,296468713980032;110;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"242";243;"SF13";"2023-01-14";68;0,387409868881614;18;1,63790433127641;-0,422048889958618;-1,49764669632242;-0,296468713980032;112;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"243";244;"SF13";"2023-01-16";68;0,387409868881614;6;0,94680545732012;-0,422048889958618;-1,49764669632242;-0,296468713980032;63;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"244";245;"SF13";"2023-01-17";68;0,387409868881614;1;1,46512961278734;-0,422048889958618;-1,49764669632242;-0,296468713980032;36;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"245";246;"SF13";"2023-01-20";68;0,387409868881614;3;2,15622848674363;-0,422048889958618;-1,49764669632242;-0,296468713980032;24;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"246";247;"SF14";"2022-03-27";100;1,51516602043908;6;-0,0898428536143179;-0,55684963878396;-1,54614288480551;-0,296468713980032;69;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"247";248;"SF14";"2022-04-09";101;1,55040840017525;20;0,94680545732012;-0,55684963878396;-1,54614288480551;-0,296468713980032;70;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"248";249;"SF14";"2022-04-10";101;1,55040840017525;19;0,428481301852901;-0,55684963878396;-1,54614288480551;-0,296468713980032;57;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"249";250;"SF14";"2022-06-17";103;1,62089315964759;11;-1,12649116454876;-0,55684963878396;-1,54614288480551;-0,296468713980032;49;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"250";251;"SF14";"2022-06-29";103;1,62089315964759;17;-0,435392290592464;-0,55684963878396;-1,54614288480551;-0,296468713980032;46;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"251";252;"SF14";"2022-08-11";105;1,69137791911993;0;-0,262617572103391;-0,422048889958618;-1,54614288480551;-0,296468713980032;3;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"252";253;"SF14";"2022-09-14";106;1,7266202988561;1;0,0829318648747551;-0,422048889958618;-1,49764669632242;-0,296468713980032;32;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"253";254;"SF14";"2022-09-16";106;1,7266202988561;15;0,94680545732012;-0,422048889958618;-1,49764669632242;-0,296468713980032;82;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
"254";255;"SF14";"2022-09-30";106;1,7266202988561;0;-0,0898428536143179;-0,422048889958618;-1,49764669632242;-0,296468713980032;23;"SUD";"F";"No";0,561818181818182;-0,616363636363636;-0,396363636363636
